nit_entidad,orden_entidad,num_contratos_1,num_contratos_2,num_contratos_3,val_contratos_1,val_contratos_2,val_contratos_3,val_contratos_media_1,val_contratos_media_2,val_contratos_media_3,val_contratos_median_1,val_contratos_median_2,val_contratos_median_3,val_contratos_desv_1,val_contratos_desv_2,val_contratos_desv_3,num_familias_dif_1,num_familias_dif_2,num_familias_dif_3,num_grupos_dif_1,num_grupos_dif_2,num_grupos_dif_3,num_contratistas_dif_1,num_contratistas_dif_2,num_contratistas_dif_3,b_cont_cerrada_1,b_cont_cerrada_2,b_cont_cerrada_3,pnum_ganadoras_1,pnum_ganadoras_2,pnum_ganadoras_3,b_adicion_tiempo_1,b_adicion_tiempo_2,b_adicion_tiempo_3,b_adicion_cuantia_1,b_adicion_cuantia_2,b_adicion_cuantia_3,IRCC,IRCCG,ine_coberturaNeta_1,ine_coberturaNeta_2,ine_coberturaNeta_3,ine_tasaDesercion_1,ine_tasaDesercion_2,ine_tasaDesercion_3,ine_tasaRepitencia_1,ine_tasaRepitencia_2,ine_tasaRepitencia_3,ine_tasaAnalfabetismo_3,ine_porcentajeAsistencia_3,ine_pruebaLecturaMatematicas_1,ine_pruebaLecturaMatematicas_2,ine_pruebaLecturaMatematicas_3,ine_pruebaLecturaCritica_1,ine_pruebaLecturaCritica_2,ine_pruebaLecturaCritica_3,inf_ingresos_m_1,inf_ingresos_m_2,inf_ingresos_m_3,inf_financiamiento_m_1,inf_financiamiento_m_2,inf_financiamiento_m_3,inf_regaliaspc_m_1,inf_regaliaspc_m_2,inf_regaliaspc_m_3,inf_nproyectos_m_1,inf_nproyectos_m_2,inf_nproyectos_m_3,inf_vproyectos_m_1,inf_vproyectos_m_2,inf_igpr_m_2,inf_igpr_m_3,inf_desempennofiscal_m_1,inf_desempennofiscal_m_2,inf_desempennofiscal_m_3,inf_peducacion_m_1,inf_peducacion_m_2,inf_peducacion_m_3,inf_psalud_m_1,inf_psalud_m_2,inf_psalud_m_3
800037244,5,86,86,99,1462536524,914658420,5901036670,17006238.651162792,10635563.023255814,59606431.01010101,9783000,6000000,10150000,30654259.0620218,18318193.032584876,186614071.67095077,9,32,29,4,4,4,67,47,40,1,1,1,77.90697674418605,54.65116279069767,40.4040404040404,0,1,1,0,1,1,25.345047217328172,Medio,8057.5,7259.5,8067,449,317.5,246,7,0,0,1223,6990,4492,4034,4333,4577,4523,4774,10381845000,12457215000,16278465000,526240000,-1186065000,-2125405000,51691.89,26141.415,29658.455,0,3,0,722155971,0,67.19833333333332,62.4975,62.349999999999994,62.400000000000006,61.75,6.245,5.8,4.24,31.32,31.475,32.1
800037979,5,708,1345,993,9403660213,5233954106,9734521306,13282005.950564971,3891415.6921933084,9803143.30916415,2000000,2540000,5600000,81114969.6424979,5635071.604347088,21504137.773886077,18,59,67,3,4,4,124,252,303,0,0,1,17.51412429378531,18.736059479553905,30.513595166163142,1,1,1,1,1,1,5.83037175166012,Bajo,9719.5,9582.5,10298.5,419,586,485.5,95,34.5,42,637,6814,4883.5,5036.5,4984,4807,5129,5116,46324935000,55414365000,70752170000,8236350000,-5189395000,-4445250000,133345.415,68346.08499999999,53747.95,3.5,11,5,32122985188.23,1753422116.9,52.6925,57.62875,82.43,80.33,79.73,12.135,12.115,8.39,52.72,51.69,56.105000000000004
800044320,5,0,75,143,0,1091265917,1367377252,0,14550212.226666667,9562078.685314685,0,6948000,5500000,0,24247624.30834394,12182409.815588558,0,9,32,0,1,4,0,47,92,0,0,1,0,62.66666666666667,64.33566433566433,0,1,1,0,1,1,11.109686688041869,Bajo,8729,8263,7904,655,548,305,350,793,383.5,1337,6932,4417,4169,4229,4454.5,4534.5,4669,17409385000,21509220000,24096640000,-1096870000,-449125000,3706810000,53172.07,0,67373.67,0,1,0,0,0,52.85666666666667,67.39333333333333,80.035,83.125,81.64,8.280000000000001,6.355,4.02,29.35,28.755,30.94
800044967,5,37,587,4309,2394582600,4974399186,19886623250,64718448.64864865,8474274.592844974,4615136.516593177,42000000,2600000,2137385,75564340.54738201,26782409.011642445,15234054.866983179,4,27,85,4,3,5,33,294,663,0,0,0,89.1891891891892,50.08517887563884,15.386400556973776,0,1,1,0,1,1,4.790162495986427,Bajo,8390.5,8087.5,8014,294.5,277.5,246,559.5,437.5,706.5,0,0,5268.5,5310.5,5299,5257,5460.5,5522,367528820000,445749980000,479211640000,36670000,-15860825000,36348785000,121.635,42.985,129.075,0,2,0,150045975,3910541159,73.67999999999999,0,79.275,79.195,78.33,72.28,75.225,76.525,15.184999999999999,14.525,14.59
800058016,5,5766,7506,6561,145343882121,216302174439,236452026681,25207055.518730488,28817236.136290967,36039022.508916326,11427761,9626911,12120828,154231688.71722817,203870549.06956044,351470286.7066665,70,119,119,3,4,4,2800,2761,2664,0,0,0,48.56052722858134,36.78390620836664,40.603566529492454,1,1,1,1,1,1,3.545100799735039,Bajo,10547,10217,9921.5,269,369.5,402.5,152,673,410.5,0,0,5000,5017,5030,5107,5329.5,5435,4760928270000,4738374845000,5458982000000,10925080000,-79641430000,272908105000,0,21.895,0,1.5,2,4,27346265343.67,19342735848,0,0,84.61500000000001,82.38,83.11,66.815,67.655,68.06,20.7,20.93,21.875
800064543,6,0,551,392,0,5219615460,4591457143,0,9472986.315789474,11712900.875,0,4335000,7572500,0,17575604.923365057,15804702.38006761,0,31,32,0,4,4,0,176,149,0,1,0,0,31.941923774954628,38.01020408163265,0,1,0,0,1,1,8.198092876780885,Bajo,9951,10174,10345,252.5,394,391,196.5,216,119.5,0,0,5580.5,5725.5,5772,5419.5,5719.5,5816,701544165000,707364585000,823654875000,123205865000,-20524095000,34438390000,24.720000000000002,12.47,3.15,2,5,3,68116799077.54,22496424102.58,0,0,83.12,77.86,79.54,70.79,69.855,70.83000000000001,17.665,20.555,21.020000000000003
800065395,5,0,214,281,0,1155119034,1613867947,0,5397752.495327103,5743302.302491103,0,2920254.5,3014364,0,6299779.503191992,8993744.111527706,0,42,53,0,4,4,0,78,103,0,1,1,0,36.44859813084112,36.654804270462634,0,0,1,0,0,1,10.663615991941214,Bajo,7743,7326.5,7660,398,437.5,187.5,703.5,65.5,18,1454,7350,4620,4456,4144,4615.5,4876,4747,16213680000,10836070000,13838240000,585155000,1215960000,-607560000,730594.335,0,78199.095,2.5,1,1,14970541638.97,0,61.82833333333333,73.25375,69.84,66.025,67.24,7.675,5.425,4.1850000000000005,26.705,27.705,28.240000000000002
800068653,5,101,185,184,878408206,848702109,447640702,8697110.95049505,4587578.967567568,2432829.902173913,3532200,1366715,1215355,19060048.532372404,13871490.154753275,2624338.514697908,11,44,36,4,4,3,46,68,48,1,1,0,45.54455445544555,36.75675675675676,26.08695652173913,0,1,1,0,1,1,20.375401013436104,Medio,10390,9628,9494,314,146.5,34,688,649.5,926,1018,6895,5380,5340,4966,5102,5454,5307,8635160000,9047615000,11140030000,-1228965000,-1405520000,-1137275000,240517.865,53749.145000000004,197537.445,1,2,1,0,0,57.94333333333333,62.21,68.92,67.65,66.28,5.82,4.47,3.885,30.61,28.299999999999997,28.785
800080586,4,317,442,535,3700797314,4917393317,6455480504,11674439.476340694,11125324.246606335,12066318.69906542,4409211,6500000,5600000,21872894.927725174,18771719.110427786,18213935.585446104,34,37,28,3,3,3,147,204,173,1,1,1,46.37223974763407,46.15384615384615,32.33644859813084,0,0,0,0,0,0,4.872378582342431,Bajo,8113,8110,8376.5,366,892,745,172,364.5,305.5,868,5570,4486,4201.5,4086,4609.5,4743,4731,32811185000,48276155000,58388225000,9410035000,-3854995000,6445550000,58745.825000000004,186311.28999999998,134724.95,2,5,0,10607000980,0,53.68166666666667,48.98625,69.83500000000001,65.44999999999999,63.41,9.67,10.42,7.575,51.394999999999996,53.805,58.45
800084206,5,800,3372,2536,27359400676,49176664634,59467976616,34199250.845,14583826.9970344,23449517.59305994,6918000,5600000,9792000,191287966.69577938,85098577.42250179,123948242.69527122,34,66,73,4,5,4,380,1126,983,0,1,0,47.5,33.392645314353494,38.761829652996845,1,1,1,1,1,1,7.3977746835541565,Bajo,9951,10174,10345,252.5,394,391,196.5,216,119.5,0,0,5580.5,5725.5,5772,5419.5,5719.5,5816,701544165000,707364585000,823654875000,123205865000,-20524095000,34438390000,24.720000000000002,12.47,3.15,2,5,3,68116799077.54,22496424102.58,0,0,83.12,77.86,79.54,70.79,69.855,70.83000000000001,17.665,20.555,21.020000000000003
800084362,5,1334,2576,3046,71136615094,53453262922,83772621678,53325798.421289355,20750490.264751554,27502502.192383453,12591105,7238148,8868000,480884496.06918657,66712561.04234067,92366913.91902526,13,34,74,4,4,4,607,793,971,1,1,0,45.502248875562216,30.784161490683232,31.877872619829283,1,1,1,1,1,1,5.383060229353565,Bajo,7730,7428.5,8980,263.5,84,115.5,185.5,429.5,393.5,466,7244,5310.5,5323.5,5400,5177,5440.5,5464,138782955000,162255235000,197030200000,378555000,5317755000,-1259410000,41141.47,0,32866.46,3.5,7,4,4516484356.17,0,51.075,59.0325,70.44,67.415,68.76,60.81,57.905,57.085,22.97,27.814999999999998,29.27
800099124,5,4,0,140,457511040,0,1233448394,114377760,0,8810345.67142857,108814530,0,3838342.5,81386042.5984161,0,24607788.27345362,1,0,18,2,0,4,3,0,77,1,0,1,75,0,55.00000000000001,0,0,0,0,0,1,19.451700923278974,Medio,7116.5,6755,7824,504,615.5,433.5,102,207,77,928,7514,4478,4621,4567,4628,4922.5,5045,8821010000,11391310000,11951630000,-197275000,-101360000,-9660000,73044.55,31157.57,125442.30500000001,1,2,2,2378475375.02,0,64.4725,68.72875,66.76,66.57499999999999,65.4,7.755,5.395,4.865,40.07,38.92,43.235
800099860,6,1901,1940,1557,21124121447,38840742240,46257321886,11112110.177275117,20021001.154639177,29709262.611432243,2555000,4000000,8400000,46261145.96779304,86185592.3410073,103184595.2803809,30,79,66,5,3,4,445,502,396,0,0,0,23.40873224618622,25.87628865979382,25.43352601156069,1,1,1,1,1,1,6.849103919875307,Bajo,8415.5,7965,8893,208.5,245.5,373.5,46,24.5,88.5,700,7164,4944.5,5079,5198,4869.5,5195,5266,24469790000,25324410000,38801665000,1582595000,502835000,-1917260000,57146.39,11534.265,45742.14,3,5,0,634018075.62,0,69.66285714285713,76.83666666666666,76.765,75.625,79.04,12.835,11.004999999999999,9.27,49.525,52.3,55.144999999999996
800101022,4,1,292,716,3600000,1788441255,4182715382,3600000,6124798.818493151,5841781.259776536,3600000,2850000,3000000,0,16899734.491697963,12929741.87029486,1,32,47,1,4,4,1,146,246,1,1,1,100,50,34.357541899441344,0,0,1,0,0,1,5.161443973988058,Bajo,6736,6709,7238,421,314,174,104,267.5,150,785,7147,4543,4244,4273,4515,4602.5,4548,74480865000,42188045000,62108070000,-18690975000,-1624595000,-9738490000,530563.4199999999,569694.4450000001,817800.185,9,13.5,12,27743527024.93,3165361.47,62.915000000000006,57.28875,71.22,62.33,61.99,12.195,12.024999999999999,9.18,38.28,45.239999999999995,47.665
800114286,5,1,76,85,20000000,1091198520,1393852776,20000000,14357875.263157895,16398267.952941176,20000000,10448880,8500000,0,14861288.986435499,30731189.063935407,1,16,15,1,3,4,1,50,53,1,1,1,100,65.78947368421053,62.35294117647059,0,0,0,0,0,0,14.429101588560457,Bajo,12068.5,12345.5,11397,705,908,637.5,195,142.5,236.5,1112,6410,4521.5,4245,4354,4644,4705,4756,15548535000,15031380000,24040785000,1727405000,-825240000,4501475000,141306.465,1810.3600000000001,235861.98,0,2.5,0,1432085668,0,61.526666666666664,79.59857142857143,67.675,65.525,70.98,8.739999999999998,6.775,5.5600000000000005,41.765,44.265,45.525
800116719,5,210,1048,614,1882276868,9490062810,9664315167,8963223.180952381,9055403.44465649,15739926.98208469,7086008,4307764.5,7821158,8215094.695067566,15958078.772890778,34370172.516513184,2,74,73,2,5,5,139,277,225,1,0,0,66.19047619047619,26.431297709923662,36.644951140065146,1,1,1,1,1,1,7.615145169513173,Bajo,9815.5,9517,9617,477.5,260.5,259,65.5,163.5,88,845,6944,4725.5,4633,4574,4681,4904.5,4838,16544570000,17569770000,21146115000,2548915000,246115000,672640000,34044.255,18963.075,60923.58,1,2,2,1255732418,0,64.74125000000001,70.03,73.805,73.36500000000001,73.77,9.120000000000001,9.2,6.765,46.53,46.78,46.144999999999996
800119945,5,235,548,676,1944271216,4109231049,15551555729,8273494.536170213,7498596.804744526,23005259.95414201,4600000,3600000,4783000,12844762.05131643,9686598.899407312,290997334.1199446,9,54,54,2,4,4,117,212,225,1,1,0,49.787234042553195,38.68613138686132,33.28402366863905,0,0,0,0,0,1,17.717244349850866,Medio,10525,10475.5,10264,579.5,568.5,607.5,72.5,12,39,1172,6865,4857.5,4840.5,4830,4710.5,5044.5,5010,26411720000,23907600000,31285945000,-384395000,523155000,7860935000,76827.005,1690.21,76623.785,2,3,4,12318162111.65,3515419187,72.36625000000001,74.675,69.52000000000001,70.66499999999999,70.39,13.265,12.175,8.399999999999999,52.385000000000005,54.230000000000004,59.16
800125276,6,114,90,31,1509530685,9085702180,1752381000,13241497.236842105,100952246.44444445,56528419.35483871,8750000,7790000,5000000,11837578.9511921,808524905.059971,188300090.21803012,14,29,15,4,4,4,57,70,22,1,0,0,50,77.77777777777779,70.96774193548387,0,0,0,1,1,0,36.64918582125922,Alto,7333,6951,7252,383.5,182.5,285.5,560,235.5,216.5,909,8202,5166.5,5061.5,5165,4795,5053.5,5121,7739555000,9737050000,9049715000,461765000,92700000,2021145000,49038,0,7984.575,1,1.5,0,569171449,1802243877.3,88.76333333333334,67.43333333333334,68.02000000000001,66.93,59.42,4.98,2.965,2.3049999999999997,22.700000000000003,19.59,22.14
800125697,5,377,471,442,4746588846,1689897404,2939666211,12590421.342175066,3587892.577494692,6650828.531674208,1603320,2696400,3910149,138249897.108342,3673597.642604389,12088961.351312662,7,19,37,2,3,4,124,170,156,1,1,1,32.891246684350136,36.09341825902335,35.294117647058826,0,1,0,0,1,0,15.483847791024713,Medio,9152,9016.5,9350,359.5,298.5,275,22.5,8.5,13,918,6470,4815.5,4642.5,4709,4761.5,4944,4877,13615315000,15182820000,18294090000,278375000,-982985000,2333560000,73826.425,51797.46,46374.675,0,3.5,2,751949279,78998226,70.22142857142858,77.77,73.95,72.08500000000001,73.24,9.21,7.98,6.27,35.97,35.5,37
800133887,5,0,27,235,0,152398018,1604526084,0,5644371.037037037,6827770.570212766,0,2784600,3400000,0,7716297.341927421,22141821.912955914,0,13,36,0,3,4,0,26,90,0,1,1,0,96.29629629629629,38.297872340425535,0,0,1,0,0,1,13.569051671011312,Bajo,10754,9513,9015.5,265.5,586,333.5,536.5,565,4.5,1694,7146,4740,5124,5115,4905,5079.5,5231,12074065000,9772305000,13745990000,209875000,-31530000,840315000,60193.33500000001,0,56664.219999999994,1,3,0,270666191.24,0,55.035000000000004,78.81428571428572,70.61,64.2,66.73,6.050000000000001,4.33,2.94,32.245,32.16,31.63
800134339,7,105,357,215,662401254,2631991757,1270309405,6308583.371428572,7372525.929971989,5908415.837209302,3180000,2277000,3750000,14784418.521448163,56494845.635950185,11745702.272692425,29,42,16,4,4,4,57,128,87,1,1,1,54.285714285714285,35.85434173669468,40.46511627906977,0,0,1,0,0,1,15.400857811492012,Medio,13248.5,13564,14591,389,634.5,154.5,0,0,0,558,6927,4924,4615,5010,4929.5,4862,5258,8078650000,9125175000,11308675000,-940405000,606950000,-1180280000,104432.48499999999,41192.515,51639.295,1,3,2,639888518.67,631087052,56.04,66.475,73.215,75.03,73.99,7.435,6.375,5.895,31.09,30.105,31.9
800138011,5,1,203,154,6743333,5066503176,5892603374,6743333,24958143.724137932,38263658.27272727,6743333,9974244,9059459,0,59056574.3569733,134388530.14740148,1,35,26,1,4,4,1,155,112,1,1,1,100,76.35467980295566,72.72727272727273,0,0,1,0,0,1,21.00080943545873,Medio,10060.5,9747,9097,364.5,538.5,558,201.5,284.5,177.5,1149,6940,4446,4193.5,4077,4487,4679,4691,20186115000,26890155000,32080575000,379380000,-95160000,166465000.00000006,33889.945,36678.75,25403.09,1,9,0,0,0,53.42,60.207499999999996,58.92999999999999,64.285,71.35,11.59,11.625,8.09,51.07,52.425,53.415
800138311,5,0,130,156,0,6352225660,9002805285,0,48863274.307692304,57710290.288461536,0,14818400,25000000,0,137719701.70580614,86267148.90798089,0,30,23,0,4,4,0,69,76,0,1,0,0,53.07692307692308,48.717948717948715,0,1,0,0,1,0,25.8672028529119,Medio,11617.5,11001,10044.5,487,510.5,560.5,372.5,176.5,225.5,1243,6766,4430,4305,4337,4515,4709.5,4738,58623480000,60779900000,71948140000,3813845000,1355295000,-2617430000,112267.185,85709.96,131758.59999999998,2,7.5,1,10884157032.05,0,57.9,57.33625,68.955,64.235,68.77,12.075,12.045,8.745,56.515,60.315,65.055
800138968,5,295,568,714,2240471999,4198558471,5250058650,7594820.335593221,7391828.294014084,7353023.319327731,1904836,2066542,1728485.5,20676916.651860707,24578168.77414607,35698679.496331856,38,51,41,4,4,4,58,106,100,0,0,0,19.661016949152543,18.661971830985916,14.005602240896359,1,1,1,1,1,1,17.011951632337265,Medio,9649.5,9763,10936,280,477.5,464.5,0,31,10,237,6936,5227,5284,5202,5331.5,5590.5,5601,60031330000,76910115000,99713700000,8562940000,-9779255000,7872040000,755.78,751.78,3.395,1,0,0,91292766,0,0,0,83.46000000000001,82.27000000000001,83.16,13.24,11.52,10.555,38.32,37.78,43.605000000000004
800139366,6,0,248,1341,0,2664679950,48460221322,0,10744677.217741935,36137376.07904549,0,4600000,3750000,0,40137061.529247776,313371005.3556897,0,39,74,0,4,5,0,139,338,0,0,0,0,56.048387096774185,25.205070842654738,0,0,0,0,0,0,11.755468996708007,Bajo,8390.5,8087.5,8014,294.5,277.5,246,559.5,437.5,706.5,0,0,5268.5,5310.5,5299,5257,5460.5,5522,367528820000,445749980000,479211640000,36670000,-15860825000,36348785000,121.635,42.985,129.075,0,2,0,150045975,3910541159,73.67999999999999,0,79.275,79.195,78.33,72.28,75.225,76.525,15.184999999999999,14.525,14.59
800139704,5,59,138,103,648364084,1351288957,901192547,10989221.762711864,9791948.963768115,8749442.203883495,9000000,9412500,6240000,12271372.301334377,6425261.062660579,7993161.514916067,8,26,21,2,4,4,49,75,49,1,1,0,83.05084745762711,54.347826086956516,47.57281553398058,1,1,1,1,1,1,8.529500140749576,Bajo,8428,7786,9092.5,249.5,220.5,233,0,607.5,20.5,1068,7424,4319,4130,3804,4427,4619.5,4382,8369910000,13859535000,14528960000,468435000,-1020325000,2632090000,14705.445,10414.375,14983.255,1,1,0,94606191,0,77.00333333333333,72.41624999999999,44.95,63.265,67.43,7.195,6.26,3.615,26.65,24.895000000000003,23.555
800143438,3,138,291,218,1145601020,5957805697,3581853581,8301456.666666667,20473559.09621993,16430521.013761468,6901418,8400000,8920000,7899055.220386076,65749048.858471245,21148514.516272675,17,35,32,2,4,4,81,151,111,1,1,1,58.69565217391305,51.890034364261176,50.917431192660544,0,1,1,0,1,1,8.411545086498458,Bajo,9041,8536,9141.5,239.5,559.5,391.5,977,748.5,553.5,1240,7104,4388,4169.5,4197,4450,4641.5,4672,24679335000,26585700000,38880640000,-1105360000,91365000,-2953215000,75693.285,18394.025,108113.665,0,3,4,2125219424.79,0,63.035000000000004,74.14285714285714,67.005,67.01,68.11,11.53,11.504999999999999,9.135,40.825,45.07,46.59
