codigo_entidad,ine_coberturaNeta_m,ine_tasaDesercion_m,ine_tasaRepitencia_m,ine_tasaAnalfabetismo_m,ine_porcentajeAsistencia_m,ine_pruebaLecturaMatematicas_m,ine_pruebaLecturaCritica_m
5212,10021.166666666666,326.8333333333333,412.5,254,7242,5197.6,5363
5234,9168.833333333334,472.8333333333333,300.5,1940,6893,4313.4,4587.2
5237,7791.833333333333,396,435.5,344,6465,5117.6,5281
5240,7319,315.3333333333333,487.5,1295,7417,4666.2,4928.8
5250,10887.666666666666,519.3333333333334,258.1666666666667,1243,6766,4361.4,4637.4
5264,8583.166666666666,393.1666666666667,564.3333333333334,278,6639,5222.8,5273.4
5266,7173.833333333333,220.66666666666666,404.5,88,7703,5654.8,5714.8
5282,7495.5,394.1666666666667,256.5,890,6700,4495.8,4838.2
5284,11319.333333333334,361.6666666666667,528,1461,7176,4761.2,5058.2
5306,12708.833333333334,426.3333333333333,214.66666666666666,635,6551,4455,4834.6
5308,6941.833333333333,352.8333333333333,291.8333333333333,340,7170,5138.4,5318.4
5310,6226.833333333333,409.1666666666667,712.3333333333334,629,7647,4906.6,5043.2
5313,8920,365.5,326.5,817,6683,5192.2,5214.2
5315,8787,176.33333333333334,660.3333333333334,1149,7165,4591,4816.4
5318,6349,288.8333333333333,415,345,7196,5208.4,5258.2
5321,11803.666666666666,244.16666666666666,193,235,6647,4930.8,5099.6
5347,7763.166666666667,429.3333333333333,317,1066,6884,4499.2,4861.8
5353,9837.333333333334,164.83333333333334,754.5,1018,6895,5281.2,5283.8
5360,7479.5,313.3333333333333,337.8333333333333,181,6923,5002.4,5304
5361,9179.333333333334,534.8333333333334,397.8333333333333,1262,6802,4153.2,4509.4
5364,8662.833333333334,351.5,278.1666666666667,655,6570,5168.8,5343.6
5368,8409,256.1666666666667,287,748,6956,5073.8,5263.2
5376,8948.333333333334,191.16666666666666,205.33333333333334,254,6843,5266.4,5298
5380,10116.166666666666,407.3333333333333,13.666666666666666,237,6936,5244.8,5489
5390,10553,655.6666666666666,294.1666666666667,1027,5795,4397.8,4714
5400,9210.5,276.6666666666667,207.83333333333334,489,6488,4895.4,5042.4
5411,10057.5,172,355.5,876,7371,4393.8,4699.6
5425,12654,421,626.6666666666666,941,7358,4666.4,4899.4
5440,9143.166666666666,345.8333333333333,241.66666666666666,271,6598,5163.2,5289
5467,8067.333333333333,219,72.66666666666667,879,7084,4648.2,4897.8
5475,10643,277.8333333333333,316.5,2269,7167,4192.4,4489
5480,9762,558.1666666666666,234.16666666666666,1636,7062,4342.2,4572.2
5483,5441.833333333333,510.6666666666667,348.3333333333333,1317,6795,4211.4,4555.8
5490,9028.333333333334,457.1666666666667,407,1281,7280,4254,4483.8
5495,9634.833333333334,487,221.16666666666666,1149,6940,4271.2,4604.6
5501,7213.166666666667,316.1666666666667,658.3333333333334,1145,6800,4395.6,4751.2
5541,8613.166666666666,219.33333333333334,57,372,6431,4963.6,5009
5543,6659.333333333333,349.5,440.5,1694,6890,4178.4,4582.6
5576,9083.333333333334,464.6666666666667,867,1157,6534,4739,4988.4
5579,7546.5,379.3333333333333,273.3333333333333,828,6786,4349.2,4685.8
5585,6867.666666666667,381,635.3333333333334,952,6821,4461.4,4739.2
5591,8234.666666666666,632.5,1069.6666666666667,780,6355,4997.6,5094.2
5604,9682.333333333334,574.1666666666666,306.8333333333333,1013,6458,4384.6,4681.2
5607,10753,300.1666666666667,254.66666666666666,314,6953,4958.6,5127.4
5615,8652.666666666666,352.8333333333333,499.1666666666667,204,6891,5115.4,5263.8
5628,8405.666666666666,554.5,524.3333333333334,957,6549,4412,4596.2
5631,12237.166666666666,209.16666666666666,328.1666666666667,106,7817,5493.6,5653.4
5642,7578.5,661.8333333333334,493.5,1459,6562,4709.4,4975.4
5647,9782.333333333334,274.6666666666667,286.1666666666667,672,5459,4406.2,4673.8
5649,9237.333333333334,462.6666666666667,677.5,858,6781,4608,4959.6
5652,9760.833333333334,395,368.6666666666667,1694,7146,4968.6,5040
5656,8580.5,279.6666666666667,214.83333333333334,707,6636,4510.6,4815.2
5658,7424.833333333333,280.8333333333333,147.16666666666666,425,7372,4692.6,4924
5659,8906.166666666666,396.8333333333333,759.6666666666666,1240,7104,4262.4,4571
5660,11126,443.5,368.8333333333333,788,7019,4607.4,4888.8
5664,8610.666666666666,273.5,210.33333333333334,294,6898,4814.2,5022.8
5665,10774.5,364.3333333333333,174.33333333333334,1266,7472,4450,4653
5667,11930,347.6666666666667,291.3333333333333,864,6885,4656.2,4876.2
5670,9648.333333333334,397.8333333333333,380.6666666666667,873,6890,4477.6,4777.6
5674,9109.333333333334,234,340.5,633,6861,5011.2,5074.2
5679,8121,255.33333333333334,368.5,776,7132,4857.8,5074.6
5686,9909.833333333334,323.1666666666667,392.3333333333333,412,6461,4898.2,5106.2
5690,10601.5,309.3333333333333,232.83333333333334,794,7058,4541,4837.6
5697,11277.5,336.5,249.16666666666666,446,6357,4966.2,5195
5736,8199.833333333334,667.6666666666666,280.6666666666667,868,5570,4292.2,4687.2
5756,8854.666666666666,411.3333333333333,326.3333333333333,775,6833,4723.8,4943.4
5761,8459.5,309.8333333333333,447.5,618,6645,4532,4754.6
5789,9464.833333333334,255.5,394,859,7205,4554.8,4830.8
5790,7210.333333333333,682.8333333333334,440.8333333333333,1531,6776,4305.2,4630.6
5792,5993.666666666667,291.3333333333333,244.16666666666666,1341,6419,4556.8,4753.8
5809,5873.166666666667,570,631.5,1028,6260,4736.4,5039.6
5819,8435.5,234.33333333333334,209.33333333333334,1068,7424,4140.4,4495
5837,9129.5,398,249.83333333333334,878,6864,4302.4,4618.6
5842,7576.5,341,262.3333333333333,1454,7350,4459.2,4746
5847,6263.833333333333,348.6666666666667,516.6666666666666,1387,6650,4659.8,4917.8
5854,6278.333333333333,468.1666666666667,771.8333333333334,1535,6594,4510.6,4773.8
5856,6762.333333333333,275,114.5,963,6938,4757.4,4938.2
5858,11937,750.1666666666666,191.33333333333334,1112,6410,4377.4,4690.8
5861,8547.166666666666,599.8333333333334,838.8333333333334,1059,6896,4610.6,4952.4
5873,16536.333333333332,239.83333333333334,175.5,1457,7336,3951.6,4084
5885,6054,475.1666666666667,96.83333333333333,1384,6775,4472.8,4771.2
5887,7844.333333333333,335.3333333333333,279.8333333333333,732,7138,4851.6,5066.6
5890,7536.333333333333,203,151.33333333333334,875,7403,4340,4679.8
5893,8946.333333333334,631.1666666666666,661.3333333333334,971,6836,4695.8,4885.2
5895,10407.666666666666,310,616.1666666666666,1368,7089,4120.8,4440.8
8000,8923.833333333334,181.66666666666666,111.66666666666667,365,6846,4916,5075.4
8001,9697.5,150,99,NA,NA,5064.6,5215
8078,9619.166666666666,161.33333333333334,195,475,7064,4721.4,4927.4
8137,9688.166666666666,241.16666666666666,313.6666666666667,1263,6491,4224.8,4430.8
8141,9366.333333333334,246.33333333333334,205.66666666666666,1790,6090,4077,4358.4
8296,9137.166666666666,336.3333333333333,122.33333333333333,377,6318,4851,4989.8
8372,9218.5,262,167.33333333333334,834,6455,4510.4,4715.4
8421,8965.166666666666,198.83333333333334,157.83333333333334,1226,6481,4252.2,4462
8433,8298.833333333334,224.83333333333334,102,454,6633,4670.4,4871
8436,11323.833333333334,278.3333333333333,54.833333333333336,1163,6172,3974.2,4215.8
8520,9928.166666666666,186.33333333333334,286.1666666666667,646,6437,4941.2,5014.6
8549,7808.5,337.8333333333333,12.333333333333334,1252,6629,4051,4446.8
8558,9223.333333333334,278.3333333333333,327.8333333333333,648,6971,4483.8,4747.2
8560,8234.833333333334,246.33333333333334,124.5,1373,6950,4333.4,4496.6
8573,23494.166666666668,201.83333333333334,95.33333333333333,226,7820,4913.4,5032.4
8606,8134.666666666667,296.1666666666667,282,1224,6643,4083.6,4339.4
8634,9544.833333333334,112,47.833333333333336,645,6644,4838.6,4950.2
8638,8319,226,119.5,868,7034,4421,4686.6
8675,7737.5,101.66666666666667,114.66666666666667,1120,6443,3980.6,4302.4
8685,8208.666666666666,125.16666666666667,106.33333333333333,582,6790,4933.2,5015.4
8758,7144.833333333333,197.5,98.33333333333333,239,6819,4881.2,5053.8
8770,11040,73.33333333333333,348.3333333333333,969,7321,4427,4594.2
8832,8540.333333333334,215.16666666666666,151.5,979,7098,4365.2,4536.6
8849,7523.666666666667,171.83333333333334,218.33333333333334,803,6546,4564.8,4697.8
11001,8274.166666666666,218,256.5,NA,NA,5422.4,5488.2
13000,9136.166666666666,298.8333333333333,346.6666666666667,777,6804,4647.6,4848
13001,9902.5,291.5,534,NA,NA,4835,5035.4
13006,9996.5,252.16666666666666,88.66666666666667,1490,7251,4089.8,4322.6
13030,7256.166666666667,232,227.5,1625,6612,4295.8,4439.2
13042,4481.166666666667,299,254.16666666666666,1182,7260,4182.8,4501.8
13052,8382.833333333334,392,130.66666666666666,1064,6975,4425.8,4651.2
13062,6425,313.3333333333333,252.66666666666666,1591,6499,4132.8,4452
13074,8715.833333333334,446.8333333333333,209,1714,6947,4141.2,4432.2
13140,9166.5,179.33333333333334,274.6666666666667,1430,7054,4134.6,4317
13160,9096.666666666666,386.8333333333333,400.5,1231,7319,4432.8,4561.4
13188,11304.833333333334,254.66666666666666,94.83333333333333,1601,7278,4510,4699
13212,10947.666666666666,228.5,271,2336,7454,4449.4,4573.8
13222,8653.833333333334,149,250.16666666666666,1311,6408,4083.2,4339.8
13244,8222.333333333334,238.66666666666666,209.66666666666666,1519,7263,4316.8,4570.2
13248,8780.5,131.16666666666666,479,1978,7373,4432,4636
13268,8136.833333333333,367.5,382,1526,7421,4101.6,4442.6
13300,9161.666666666666,274.1666666666667,340,1828,6946,4171.6,4392.6
13430,9847,346.8333333333333,427.6666666666667,1014,6984,4760.4,4928
13433,9529,201,211.83333333333334,1512,7121,4020.6,4321.2
13440,8714.833333333334,366.1666666666667,443,1525,7480,4218.8,4515.4
13442,8991.666666666666,300.1666666666667,281.1666666666667,1716,4607,4093.6,4306.4
13458,5501.5,310.3333333333333,31.833333333333332,1251,7004,4279.2,4662.2
13468,9915.333333333334,429.8333333333333,217.33333333333334,1220,7328,4509.6,4705.8
13473,7428.833333333333,370,92.33333333333333,907,7259,4292,4509.2
13490,10533.5,464,22.833333333333332,1167,7168,4075.6,4703
13549,8574.5,337.8333333333333,371.5,1418,7178,4188.4,4431
13580,4429.5,322.8333333333333,225.5,1236,6672,3750.8,4043.2
13600,4278.333333333333,202.5,20.333333333333332,1369,7046,4169,4343
13620,10093.333333333334,247.66666666666666,160.5,1003,6986,4393.8,4525
13647,8649.5,262.6666666666667,388.3333333333333,1433,7139,4180.6,4357
13650,6764.666666666667,232.33333333333334,378.5,1741,7076,4096.6,4364.2
13654,10496,335.6666666666667,115.83333333333333,1512,7320,4676,4737.8
13655,6606.833333333333,134.66666666666666,114.5,1339,7249,4356.8,4555.2
13657,9620.666666666666,250.16666666666666,75.5,1531,7231,4474.6,4670.6
13667,8697.5,346.5,115.5,1286,6999,4273.6,4528.6
13670,7960,351.5,361,1102,6795,4550.6,4733.4
13673,9449.666666666666,206.5,62.333333333333336,1146,7094,4360.6,4552.8
13683,6533.666666666667,209.16666666666666,87.5,1038,5763,4190.4,4350.2
13688,7226.166666666667,512,167.5,559,6312,5097,5043.2
13744,7071.5,330.6666666666667,111.16666666666667,1094,7299,4835.2,4767.6
13760,9056.666666666666,186,10.833333333333334,523,7313,4339.2,4387.8
13780,9674.666666666666,173.5,66,1175,7318,4275.4,4459.4
13810,8325.5,176.16666666666666,177.33333333333334,1360,6892,4062.8,4314.2
13836,10246.166666666666,335.1666666666667,210.5,478,7449,4957.6,5079.2
13838,8081.166666666667,201.33333333333334,292.5,895,6932,4460.8,4585
13873,9316.333333333334,115.16666666666667,126.83333333333333,1365,7215,4347.4,4507
13894,8984,349.1666666666667,64,1791,6804,4194.6,4367.2
15000,8577,214,211.83333333333334,584,7679,5342.2,5283.4
15001,8804.666666666666,188,529.6666666666666,NA,NA,5600,5569
15022,7573.166666666667,123.33333333333333,45.5,850,7647,4884.2,4808.8
15047,8819,305.6666666666667,328.1666666666667,852,7088,5089.4,5164.6
15051,9558.333333333334,161,16.333333333333332,528,7337,5573.2,5310.6
15087,10558.5,124.66666666666667,50,514,7664,5326.8,5128.6
15090,6011,152.83333333333334,139.33333333333334,1053,8014,5362.4,5289.8
15092,5969,56.166666666666664,226.16666666666666,813,7789,5093.4,4900.4
15097,7745.666666666667,243.16666666666666,47.666666666666664,1078,7608,5572.6,5198.8
15104,8156,123.83333333333333,47.166666666666664,1097,7526,5180.8,5160.8
15106,8093.5,479,74,953,6852,5147,4968.4
15109,7508.166666666667,177.33333333333334,267.1666666666667,1307,8157,5087,4966.2
15114,3971.8333333333335,215.33333333333334,154.83333333333334,631,7956,4944.6,5035.8
15131,8189.5,199.33333333333334,174.16666666666666,778,7159,5267,5074.4
15135,5608.666666666667,297.1666666666667,50.833333333333336,746,7487,5336.6,5149.2
15162,8389.666666666666,88.83333333333333,23.166666666666668,484,8081,5454.6,5340
15172,8039.166666666667,418.3333333333333,401,1066,7086,4946.8,4918.4
15176,8459.333333333334,249.16666666666666,138,425,7508,5177.8,5218.4
15180,7266,114.33333333333333,59.166666666666664,880,7138,4797.8,4729.8
15183,8247.333333333334,226.5,108.5,1377,7388,4660,4692.2
15185,8664.333333333334,179.66666666666666,11.5,1133,7175,5002,4860.4
15187,3638.8333333333335,209.66666666666666,287,860,7563,5317,5039.4
15189,9408.666666666666,163.16666666666666,140.5,852,6957,5086.6,4989.2
15204,8129.166666666667,303.8333333333333,381.8333333333333,419,7722,5277,5143.4
15212,7735.333333333333,276,113.83333333333333,1396,7061,4947.6,4905.6
15215,9779.833333333334,227.16666666666666,49.166666666666664,495,7590,5500,5348.2
15218,8106.833333333333,237.83333333333334,260.1666666666667,1275,7907,4965.4,4970.8
15223,6263.333333333333,68.33333333333333,449.5,3891,7344,4911.6,4844.4
15224,7357.166666666667,156.5,117.5,493,7180,5156.6,5106.6
15226,8064,173,0,833,7857,5407.2,5336.8
15232,6850.166666666667,58.333333333333336,11.166666666666666,972,6613,4735.4,4669.8
15236,8619.333333333334,379.6666666666667,338.1666666666667,810,7064,4734.2,4783.2
15238,9795.833333333334,158.33333333333334,506.8333333333333,227,7906,5747.8,5612.8
15244,7973.833333333333,193.83333333333334,126.33333333333333,722,7284,5350.6,5156
15248,8766.833333333334,220.5,134.66666666666666,611,7335,5125.2,4974.8
15272,7240.166666666667,96.16666666666667,53.333333333333336,542,8086,5405.4,5329
15276,6745.166666666667,115.33333333333333,11.5,896,7592,5501.8,5317.2
15293,10731.833333333334,136.33333333333334,5.333333333333333,902,7977,5051.6,4866.4
15296,8232.833333333334,167.5,275.3333333333333,719,7494,5184.8,5076.2
15299,7493,239.16666666666666,78.5,478,7421,5468,5403
15317,8108,54.5,58.666666666666664,742,6532,4939,5014.8
15322,10205,224,42.333333333333336,511,7554,5181.2,5136.8
15325,7481.333333333333,153,40.333333333333336,1039,7722,5155.4,5101.8
15332,4074.3333333333335,104.16666666666667,0,1894,7995,5027.4,4970.6
15362,7778.5,329.1666666666667,458.5,444,8251,5760.4,5536.8
15367,7482.333333333333,83.83333333333333,30,1031,7705,5175.8,5064
15368,8600.833333333334,260.8333333333333,2.1666666666666665,1440,6805,4545,4617.6
15377,6116.5,369.5,144.5,1577,7651,5077.6,4930
15380,9143.5,79.83333333333333,170.33333333333334,895,7500,5234.6,5203.8
15401,6320,195,111.66666666666667,1397,7963,4847.4,4926.4
15403,9487.833333333334,228,198.66666666666666,700,7411,5336.6,5223.8
15407,9001.833333333334,156.66666666666666,92.66666666666667,352,6844,5432.2,5276.2
15425,7001,277,131.83333333333334,928,7548,5040.6,5056.4
15442,6526.333333333333,259.8333333333333,137.16666666666666,1506,7585,4875.2,4873.4
15455,7959.666666666667,215.66666666666666,71.16666666666667,730,7479,5474.6,5388.6
15464,8219.666666666666,212.33333333333334,68.66666666666667,754,7110,4916,4815.6
15466,8299.833333333334,173.33333333333334,63.5,737,7055,5367.2,5145
15469,9201.5,274,81.16666666666667,862,7236,5181,5131
15476,5630.166666666667,187.5,75.5,573,7148,5091.8,4971.2
15480,8626.833333333334,406.1666666666667,58,981,7094,4799.8,4854
15491,7574.333333333333,237.33333333333334,109.83333333333333,239,7679,5467.6,5384
15494,7079,155.66666666666666,94,698,7751,5154.6,5023.8
15500,6125.166666666667,217.33333333333334,48,596,7660,5418.6,5237.6
15507,5938.166666666667,369.1666666666667,96.66666666666667,1080,7136,4615.2,4777.4
15511,7656.166666666667,188.16666666666666,541.5,930,8467,5301,5256.4
15514,7690.166666666667,176.16666666666666,24.166666666666668,823,7277,5119.6,5223.6
15516,9978.5,230,144.66666666666666,327,7851,5824.2,5572
15518,12278.5,287,383,895,6657,4919,4994.4
15522,12828.5,209.16666666666666,56.666666666666664,1079,7586,5032.6,5024.4
15531,6637,290.8333333333333,10.5,1828,7716,4974,4912.6
15533,9838.833333333334,205.83333333333334,236,1350,7410,4692,4494
15537,7638.5,105.16666666666667,2.5,572,8012,5398,5100
15542,7710.166666666667,150.83333333333334,32,817,7473,5109.4,4901.6
15550,11152.666666666666,371.8333333333333,127,952,7251,5110.2,4826.2
15572,8784.5,437.1666666666667,112.66666666666667,815,7053,4674.8,4931
15580,6814.5,366.8333333333333,324,1404,6597,4851.8,4815.2
15599,9013.833333333334,202.66666666666666,49.5,815,7764,5245.2,5159.6
15600,3722.1666666666665,134.33333333333334,171,984,6951,5139.2,5070.2
15621,7620.333333333333,236,441.3333333333333,981,7696,5096.2,5045
15632,8719,178.83333333333334,124,858,7683,4818,4733.6
15638,8316.666666666666,123.66666666666667,55.333333333333336,551,6960,5161.6,4979.8
15646,8783,174.66666666666666,74.33333333333333,555,7283,5299.8,5199.8
15660,6721,155.66666666666666,97.83333333333333,886,8274,5193.6,5108.8
15664,7053.666666666667,415,21.333333333333332,1327,7127,4891.8,4987.4
15667,9239,223.83333333333334,258.5,926,7040,5105.6,5047.4
15673,8241.166666666666,240.66666666666666,72.16666666666667,941,7640,5152.4,4896
15676,7134,213.83333333333334,111.83333333333333,519,7500,4919.8,4868
15681,6323.166666666667,284.5,69,1171,8037,4681.2,4813
15686,8734.333333333334,186.66666666666666,493.1666666666667,1162,6858,5040.8,4981
15690,7813.333333333333,132.83333333333334,187.16666666666666,900,7686,5157,5158
15693,8154.333333333333,194.33333333333334,76,402,7532,5685.8,5486.2
15696,8985,289.6666666666667,165.83333333333334,903,6760,4958,4795.2
15720,7424.833333333333,97.5,114,974,8028,5127.6,5052.8
15723,10001,103,113.66666666666667,462,8265,5140.8,4930
15740,8328,192,155,866,6925,5027.2,4890.6
15753,11143.166666666666,92.5,25.666666666666668,606,7736,5402.8,5351.6
15755,9113.833333333334,201.66666666666666,92.83333333333333,1110,7479,5119.4,5096.4
15757,10481.5,116.83333333333333,42,535,7367,5094.4,5114.4
15759,11236,179.5,284.8333333333333,256,7779,5540,5519.4
15761,7760.166666666667,187.5,54.166666666666664,1014,8462,4953.6,5032.8
15762,8088.833333333333,86.33333333333333,36,762,6954,5133.8,5084.2
15763,7279.5,238.33333333333334,27.5,492,7138,5185,5081
15764,12333.5,285.1666666666667,91.5,884,7831,5406.6,5175.2
15774,6093,87.33333333333333,17,869,7143,5260.8,4890.4
15776,7930.5,199.66666666666666,128.83333333333334,664,7050,5191.6,4913.2
15778,6888.5,190.5,13.666666666666666,1136,7778,5009.6,4983.4
15790,8098.666666666667,234,20.166666666666668,580,7323,5288.2,5077.2
15798,8142.166666666667,173.16666666666666,40.166666666666664,788,7717,5341.2,5245.4
15804,8055.666666666667,162.16666666666666,69,1054,7302,5400.4,5137.8
15806,6601.166666666667,267.6666666666667,120.83333333333333,411,8065,5607.4,5356.2
15808,7491.166666666667,177.33333333333334,0,664,8312,5399,5178.8
15810,9428.666666666666,112.5,72.16666666666667,1098,7543,5024.6,5035.6
15814,8347.333333333334,233.83333333333334,213,470,6874,4909.8,4947.8
15816,8030.166666666667,350,235.16666666666666,1029,7542,5260.6,5105.2
15820,8551,178.16666666666666,104.33333333333333,546,7447,5290.6,5141.2
15822,9460,246,24,1122,7766,4818.4,4679
15832,7675.666666666667,196,39.333333333333336,943,8072,4437.8,4657.6
15835,11259.833333333334,113.66666666666667,20.666666666666668,816,7970,5374.4,5212.4
15837,9439.333333333334,181.33333333333334,70,500,7758,5393.2,5218.8
15839,12015.833333333334,192.66666666666666,46.5,705,8491,5140.8,4863.4
15842,5443.666666666667,141,11.666666666666666,874,7714,5002.4,4953.2
15861,8217.833333333334,242,35.333333333333336,593,7013,5162.4,5072
15879,6712.166666666667,248,154.66666666666666,809,6846,5169,5000.8
15897,9747.833333333334,238.33333333333334,79.66666666666667,1389,7468,5115.4,5029.8
17000,7885.166666666667,339,354.3333333333333,507,7093,4983.8,5152
17001,8164,272.6666666666667,567.8333333333334,NA,NA,5291.4,5391.4
17013,8283.833333333334,338.1666666666667,274.5,827,6528,4812.2,4999.4
17042,8246.5,448.5,416.1666666666667,667,6916,4799.2,4995.2
17050,8324.333333333334,414,172,756,6764,4690.2,4977.8
17088,8448.166666666666,485,454,1052,6738,4579.6,4820.8
17174,8314.833333333334,401.1666666666667,261.8333333333333,545,6723,4829.6,5031.2
17272,7616.333333333333,431.6666666666667,512.5,885,7057,4624.4,4876.2
17380,8038,518.8333333333334,370.5,641,6971,4750.2,4969
17388,10326.5,390.6666666666667,130.16666666666666,1049,6837,4567,4889
17433,6466.5,352.1666666666667,138.33333333333334,825,6809,4797.8,4958
17442,8334.166666666666,331.6666666666667,212,658,6375,4477.6,4771.4
17444,7534.833333333333,328.6666666666667,82.5,962,7044,4831,5068
17446,5159.333333333333,399.1666666666667,412,736,7059,4311,4663.2
17486,5752.833333333333,360.3333333333333,226.33333333333334,812,7042,5113.4,5207
17495,8791.5,324.8333333333333,477.3333333333333,958,7304,4555.4,4803.6
17513,6932.5,326.3333333333333,154.33333333333334,1027,5993,4704.2,4968.2
17524,7722.333333333333,432,411.1666666666667,886,6927,4709.8,4957.2
17541,6555.5,360.6666666666667,202.33333333333334,870,7207,4828.2,5122.6
17614,7554.333333333333,181.83333333333334,297.6666666666667,487,7250,4725.8,4945.2
17616,9563.333333333334,479.3333333333333,257,993,6542,4817.4,4920.2
17653,7035.833333333333,245.66666666666666,138.16666666666666,853,7005,4791,5016.6
17662,7130.833333333333,409.6666666666667,176.16666666666666,1031,7065,4704.8,4947.6
17665,6179.5,318.1666666666667,106.66666666666667,1048,7421,4881.2,5001
17777,8453.166666666666,272.8333333333333,111.66666666666667,562,6680,4454.2,4743.8
17867,10146,500,126,1087,7104,4540.6,4805.4
17873,8288.5,269,137.83333333333334,343,7269,5119.8,5313.4
17877,8722.166666666666,448.5,83.33333333333333,694,6687,4798,4922.6
18000,7762.833333333333,558.8333333333334,268,689,6875,4720.4,4873.2
18001,9250,529,322,NA,NA,4904,5059.2
18029,6125,475.3333333333333,367.5,677,6879,4661.6,4753.6
18094,7066.833333333333,480.1666666666667,436.3333333333333,1206,6598,4381,4504.2
18150,8064.833333333333,669.8333333333334,252.33333333333334,835,6564,4625,4708.8
18205,7075.666666666667,555.6666666666666,36.833333333333336,1025,6991,4560.2,4675
18247,8353.333333333334,586.1666666666666,223,816,6973,4784.6,4903.8
18256,5613.833333333333,462.8333333333333,456.8333333333333,980,6560,4766,4878.6
18410,6190,459.6666666666667,274.8333333333333,887,7344,4425.2,4580.8
18460,6706.833333333333,506.3333333333333,500.1666666666667,957,7474,4238.6,4394
18479,7991.333333333333,402.1666666666667,69.66666666666667,783,7277,4424.8,4584
18592,7488,551.3333333333334,99.16666666666667,938,6442,4603,4778.8
18610,8574.833333333334,578.1666666666666,269.3333333333333,775,6691,4500,4611.4
18753,7512.333333333333,653.1666666666666,161.66666666666666,801,6598,4522.4,4706.6
18756,4423.5,553.8333333333334,175.33333333333334,881,6868,4202.6,4405
18785,7116.5,487.3333333333333,285.5,951,6760,4347,4519.6
18860,5346.833333333333,505.5,366.3333333333333,829,6727,4708,4806.4
19000,8367.333333333334,294.5,133.16666666666666,753,7210,4646.2,4822
19001,10536.5,229.83333333333334,377,NA,NA,5118.4,5202.8
19022,6148.5,285,167.33333333333334,1518,7111,4522,4567.8
19050,8988,564.8333333333334,54.833333333333336,981,6482,4653.4,4817.4
19075,6369.5,346.3333333333333,132.83333333333334,1016,6341,4731.6,4857.6
19100,7103.333333333333,229.33333333333334,94.66666666666667,1090,7212,4654.4,4780.8
